record_id,merchant_id,transaction_date,value_date,description,reference_number,debit_amount_paise,credit_amount_paise,balance_paise,bank_name,account_number
banktxn_db34pa0ucbw5yav7,merch_zomato,2026-05-04,2026-05-04,NEFT/RAZORPAY/J887T3GZR4YPS1QP/setl_n2p6lw4hzy,J887T3GZR4YPS1QP,,59870,,ICICI,XXXXXX8830
banktxn_j18nvzs0doxp3l3p,merch_lenskart,2026-07-02,2026-07-02,NEFT/RAZORPAY/OQ8QBFKO0NE08O4Y/setl_jrosde65qs,OQ8QBFKO0NE08O4Y,,83457,,HDFC,XXXXXX9910
banktxn_lew57z1z7zommxdi,merch_lenskart,2026-06-01,2026-06-01,NEFT/RAZORPAY/28TMVIKGH82KIZII/setl_jrosde65qs,28TMVIKGH82KIZII,,1146022,,HDFC,XXXXXX9910
banktxn_2jh9dwq3b2l3yye1,merch_zomato,2026-01-16,2026-01-16,NEFT/RAZORPAY/XQYR1WEKU24S1FQC/setl_dt2cjbijhs,XQYR1WEKU24S1FQC,,156719,,ICICI,XXXXXX8830
banktxn_tuiyrtnn7j4wrhxa,merch_zomato,2026-06-08,2026-06-08,NEFT/RAZORPAY/5MX8LXH1TCJ92E6S/setl_dt2cjbijhs,5MX8LXH1TCJ92E6S,,50019,,ICICI,XXXXXX8830
banktxn_x3y3dxw2ig43i3hf,merch_urbanco,2026-05-21,2026-05-21,NEFT/RAZORPAY/9GN5DN3046LIP7UM/setl_b6r0dbb1bq,9GN5DN3046LIP7UM,,3216962,,Axis,XXXXXX1147
banktxn_7m280jl1bz6jdle4,merch_bluedart,2026-03-21,2026-03-21,NEFT/RAZORPAY/EV9KHM0FZ14Q8LZM/setl_x4yy2sdtw4,EV9KHM0FZ14Q8LZM,,442850,,Kotak,XXXXXX5567
banktxn_p68posye1nnvdt6c,merch_apollo,2026-02-03,2026-01-31,NEFT/RAZORPAY/BTRV5FSS7WWQ9RFM/setl_4m1mvohiti,BTRV5FSS7WWQ9RFM,,171260,,HDFC,XXXXXX4021
banktxn_7ypegmg6dzgke6ko,merch_nykaa,2026-05-16,2026-05-16,NEFT/RAZORPAY/SH4BKZ4GVQB6BCP2/setl_obvrdd0i74,SH4BKZ4GVQB6BCP2,,0,,RazorpayX,RZPX00XXXX2201
banktxn_28gbzr4uyals7j28,merch_apollo,2026-01-23,2026-01-23,NEFT/RAZORPAY/DNRXK1HK1LQQEVLJ/setl_4m1mvohiti,DNRXK1HK1LQQEVLJ,,75024,,HDFC,XXXXXX4021
banktxn_4wk9uci55ip5cf5l,merch_apollo,2026-06-10,2026-06-10,NEFT/RAZORPAY/4GOCG8BJA6NTF36B/setl_4m1mvohiti,4GOCG8BJA6NTF36B,,243346,,HDFC,XXXXXX4021
banktxn_mf9p2rvhp8v83ldp,merch_zomato,2026-02-12,2026-02-12,NEFT/RAZORPAY/LESFNXPPV6MKGHQ1/setl_dt2cjbijhs,LESFNXPPV6MKGHQ1,,276850,,ICICI,XXXXXX8830
banktxn_m126s2oth2vyrbxk,merch_apollo,2026-03-11,2026-03-11,NEFT/RAZORPAY/XDVINP27T1CO614T/setl_4m1mvohiti,XDVINP27T1CO614T,,1036614,,HDFC,XXXXXX4021
banktxn_nt2dq9oevtbs453s,merch_nykaa,2026-05-02,2026-05-04,NEFT/RAZORPAY/ROBQ4DX8QZU2SSTS/setl_obvrdd0i74,ROBQ4DX8QZU2SSTS,,1444,,RazorpayX,RZPX00XXXX2201
banktxn_bxvjl5919a05vnjn,merch_zomato,2026-04-23,2026-04-23,NEFT/RAZORPAY/7R0FCBYZW0U01K52/setl_dt2cjbijhs,7R0FCBYZW0U01K52,,101237,,ICICI,XXXXXX8830
banktxn_uzeltcfw6ef1uehl,merch_lenskart,2026-02-23,2026-02-23,NEFT/RAZORPAY/SNHECJEP1HKDBMBW/setl_jk8v4druwn,SNHECJEP1HKDBMBW,,31800,,HDFC,XXXXXX9910
banktxn_sn4zlv65rjmr2mnp,merch_nykaa,2026-02-10,2026-02-10,NEFT/RAZORPAY/IZDQT5GOUG2ROXWQ/setl_obvrdd0i74,IZDQT5GOUG2ROXWQ,,0,,RazorpayX,RZPX00XXXX2201
banktxn_1earsme4z2mvpf52,merch_bluedart,2026-03-20,2026-03-20,NEFT/RAZORPAY/XS0EF6EPI5BPJ40O/setl_x4yy2sdtw4,XS0EF6EPI5BPJ40O,,823661,,Kotak,XXXXXX5567
banktxn_hy1f1gmyw0u7yr4j,merch_zomato,2026-06-29,2026-06-29,NEFT/RAZORPAY/KKWRBTSYZYBP2E5S/setl_dt2cjbijhs,KKWRBTSYZYBP2E5S,,74164,,ICICI,XXXXXX8830
banktxn_4ouxjdj2vd3s6tto,merch_bluedart,2026-06-09,2026-06-09,NEFT/RAZORPAY/DXL3TRNWKSWEVLQZ/setl_x4yy2sdtw4,DXL3TRNWKSWEVLQZ,,288661,,Kotak,XXXXXX5567
banktxn_79hxiiufrmq74nqz,merch_nykaa,2026-05-10,2026-05-10,NEFT/RAZORPAY/8DQ0LRBTL4DGOFX1/setl_obvrdd0i74,8DQ0LRBTL4DGOFX1,,134391,,RazorpayX,RZPX00XXXX2201
banktxn_k8w1lorm5zcsyjss,merch_bluedart,2026-01-07,2026-01-07,NEFT/RAZORPAY/IMVFHQRJGVDEYSZ3/setl_d4rp06720j,IMVFHQRJGVDEYSZ3,,106133,,Kotak,XXXXXX5567
banktxn_shtr75r5bb7l2fpk,merch_urbanco,2026-03-25,2026-03-25,NEFT/RAZORPAY/Y2DLJQIOR0J3DUPG/setl_e6o288sjff,Y2DLJQIOR0J3DUPG,,0,,Axis,XXXXXX1147
banktxn_zw61o6pz3im1ma54,merch_nykaa,2026-04-11,2026-04-11,NEFT/RAZORPAY/⚠️​<<<INJECTED>>>/ടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടട,C3BKMWV83R9E7ILR,,143821,,RazorpayX,RZPX00XXXX2201
banktxn_862ui5gge070o5hi,merch_bluedart,2026-04-02,2026-04-02,NEFT/RAZORPAY/583UKD4DOZNC6N8P/setl_d4rp06720j,583UKD4DOZNC6N8P,,578018,,Kotak,XXXXXX5567
banktxn_qws0lw0v42pn71rh,merch_zomato,2026-03-27,2026-03-27,NEFT/RAZORPAY/P6D78CVTGNXJ6DFV/setl_n8yqp06ewk,P6D78CVTGNXJ6DFV,,56370,,ICICI,XXXXXX8830
banktxn_0fyzsxa4zydxjisx,merch_zomato,2026-02-12,2026-02-12,NEFT/RAZORPAY/DB2API32CFDRFV2B/setl_n8yqp06ewk,25C3OGR79OV75QCD,,420006,,ICICI,XXXXXX8830
banktxn_bmr67idkwc2j0uun,merch_urbanco,2026-05-22,2026-05-22,NEFT/RAZORPAY/N985XHMTIQN1L8U1/setl_e6o288sjff,N985XHMTIQN1L8U1,,79564,,Axis,XXXXXX1147
banktxn_eqcf0kunjct30yi7,merch_zomato,2026-03-16,2026-03-16,NEFT/RAZORPAY/44KJYW2K63ECIPNF/setl_n8yqp06ewk,44KJYW2K63ECIPNF,,497260,,ICICI,XXXXXX8830
banktxn_tnp35qiaobjlkiqa,merch_bluedart,2026-03-13,2026-03-13,NEFT/RAZORPAY/FNSKDXJW465KV2CJ/setl_d4rp06720j,FNSKDXJW465KV2CJ,,96707,,Kotak,XXXXXX5567
banktxn_y9tb7fotk6qjh7kc,merch_bluedart,2026-03-16,2026-03-16,NEFT/RAZORPAY/293WJJRWWXPPNJY4/setl_d4rp06720j,293WJJRWWXPPNJY4,,245744,,Kotak,XXXXXX5567
banktxn_8x5s4xemjsk874as,merch_urbanco,2026-02-20,2026-02-20,NEFT/RAZORPAY/V99FG8QVWT2CBDY7/setl_e6o288sjff,V99FG8QVWT2CBDY7,,116186,,Axis,XXXXXX1147
banktxn_hcjvgddjj862qn42,merch_bluedart,2026-05-31,2026-05-31,NEFT/RAZORPAY/R4RZUYSCB4IU0D81/setl_d4rp06720j,R4RZUYSCB4IU0D8X,,24849,,Kotak,XXXXXX5567
banktxn_6plrqdfdm2x9ic8o,merch_nykaa,2026-07-02,2026-07-02,NEFT/RAZORPAY/687N42HMOAJHQB92/setl_1epoqmp00s,687N42HMOAJHQB92,,83402,,RazorpayX,RZPX00XXXX2201
banktxn_3buazyqwe87b3zp5,merch_zomato,2026-04-11,2026-04-11,NEFT/RAZORPAY/S5M066AK08C5Q20G/setl_n8yqp06ewk,S5M066AK08C5Q20G,,221842,,ICICI,XXXXXX8830
banktxn_ijrgk9f01g4naj9x,merch_apollo,2026-03-22,2026-03-22,NEFT/RAZORPAY/YBYGXZ5JM5OL4HKP/setl_pe6tlmasup,YBYGXZ5JM5OL4HKP,,743760,,HDFC,XXXXXX4021
banktxn_pvwl5m3rpxw4mmt7,merch_lenskart,2026-01-14,2026-01-14,NEFT/RAZORPAY/85OHMUKBVMIBWC8Z/setl_b1c5euzy3a,85OHMUKBVMIBWC8Z,,85764,,HDFC,XXXXXX9910
banktxn_t48pl9iiy4wmawfw,merch_nykaa,2026-06-09,2026-06-09,NEFT/RAZORPAY/8SLQS6L3F3NPWTZ3/setl_1epoqmp00s,8SLQS6L3F3NPWTZ3,,125936,,RazorpayX,RZPX00XXXX2201
banktxn_8as29mjf4pe4kwjq,merch_nykaa,2026-02-28,2026-02-28,NEFT/RAZORPAY/0QIBTA1IDWZ6VQTP/setl_1epoqmp00s,0QIBTA1IDWZ6VQTP,,0,,RazorpayX,RZPX00XXXX2201
banktxn_jx2u5bo6kizbu038,merch_lenskart,2026-06-14,2026-06-14,NEFT/RAZORPAY/UFQNAUAKYPSTU3LN/setl_b1c5euzy3a,UFQNAUAKYPSTU3LN,,44829,,HDFC,XXXXXX9910
banktxn_io6bz6n36ogkgqo9,merch_urbanco,2026-06-18,2026-06-18,NEFT/RAZORPAY/SD4V0W7PQYZ6E1EY/setl_kw6v2xefm4,SD4V0W7PQYZ6E1EY,,282417,,Axis,XXXXXX1147
banktxn_db8tbkg27ifzivni,merch_nykaa,2026-06-23,2026-06-23,NEFT/RAZORPAY/KSXYXA4EATEY7LB9/setl_1epoqmp00s,KSXYXA4EATEY7LB9,,0,,RazorpayX,RZPX00XXXX2201
banktxn_9nf4uk3g0du157xk,merch_urbanco,2026-06-20,2026-06-20,NEFT/RAZORPAY/JVFFHENUFRU26RWN/setl_kw6v2xefm4,JVFFHENUFRU26RWN,,298042,,Axis,XXXXXX1147
banktxn_3ghpajnkj1sv00ke,merch_lenskart,2026-05-17,2026-05-17,NEFT/RAZORPAY/YZFY0CSHSEY76EDS/setl_b1c5euzy3a,YZFY0CSHSEY76EDS,,36928,,HDFC,XXXXXX9910
banktxn_n23up6rmeuvtxg8h,merch_urbanco,2026-06-23,2026-06-23,NEFT/RAZORPAY/P1FQRY1BTRJGYBIC/setl_kw6v2xefm4,P1FQRY1BTRJGYBIC,,298168,,Axis,XXXXXX1147
banktxn_q1ve0b6sdtdfu250,merch_apollo,2026-02-06,2026-02-06,NEFT/RAZORPAY/NPSE5EU324THC5SN/setl_my3ou14ghr,NPSE5EU324THC5SN,,772746,,HDFC,XXXXXX4021
banktxn_kcivvg55q0awnmcz,merch_lenskart,2026-05-12,2026-05-12,NEFT/RAZORPAY/⚠️​<<<INJECTED>>>/ടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടടട,QHB9TQGFJJQL8RM3,,384943,,HDFC,XXXXXX9910
banktxn_v81sksc6jjgh7ohk,merch_apollo,2026-02-15,2026-02-15,NEFT/RAZORPAY/IOBBPWUKC54MAGDY/setl_my3ou14ghr,IOBBPWUKC54MAGDY,,1610594,,HDFC,XXXXXX4021
banktxn_1x3nmy88q9c5qtn1,merch_lenskart,2026-05-07,2026-05-07,NEFT/RAZORPAY/BNMXSBCS1RANWTDO/setl_b1c5euzy3a,BNMXSBCS1RANWTDO,,565483,,HDFC,XXXXXX9910
banktxn_e0ye3ezxi16rutp9,merch_urbanco,2026-03-22,2026-03-22,NEFT/RAZORPAY/L7Y7X2MBXD2LC0RV/setl_kw6v2xefm4,L7Y7X2MBXD2LC0RV,,520801,,Axis,XXXXXX1147
banktxn_t3s8njhl9uzq43lg,merch_apollo,2026-02-13,2026-02-13,NEFT/RAZORPAY/E5J7YFK2I3IIGTHB/setl_my3ou14ghr,E5J7YFK2I3IIGTHB,,63013,,HDFC,XXXXXX4021
banktxn_282vl82gp3tid1pg,merch_bluedart,2026-04-26,2026-04-26,NEFT/RAZORPAY/OT0DAS6YWSMXSL3Z/setl_ye8b213k0k,OT0DAS6YWSMXSL3Z,,102531,,Kotak,XXXXXX5567
banktxn_g3kpju2fcrhaikc9,merch_nykaa,2026-05-25,2026-05-25,NEFT/RAZORPAY/673NMQBJ49RQSQW1/setl_0d72z3xdgz,673NMQBJ49RQSQW1,,42347,,RazorpayX,RZPX00XXXX2201
banktxn_f1bupudq1xqeddm2,merch_nykaa,2026-04-29,2026-04-29,NEFT/RAZORPAY/9K78OP3ZQR751ZH0/setl_0d72z3xdgz,9K78OP3ZQR751ZH0,,72321,,RazorpayX,RZPX00XXXX2201
banktxn_ebze4mc1u1t62ixv,merch_nykaa,2026-06-06,2026-06-06,NEFT/RAZORPAY/XCGOO1X7GIXP28PL/setl_0d72z3xdgz,XCGOO1X7GIXP28PL,,0,,RazorpayX,RZPX00XXXX2201
banktxn_u87681dw9wc26n0n,merch_zomato,2026-05-15,2026-05-15,NEFT/RAZORPAY/45BHSGDL3RUYA3DW/setl_r4tdgo2ytd,45BHSGDL3RUYA3DW,,1320301,,ICICI,XXXXXX8830
banktxn_cw0ln0hax4ryep9l,merch_zomato,2026-02-06,2026-02-06,NEFT/RAZORPAY/WJ6IFJIPABW1VG3K/setl_r4tdgo2ytd,WJ6IFJIPABW1VG3K,,44147,,ICICI,XXXXXX8830
banktxn_bmb6bzmos8g3nnla,merch_zomato,2026-04-24,2026-04-24,NEFT/RAZORPAY/S3JNLD114VC6G69U/setl_r4tdgo2ytd,S3JNLD114VC6G69U,,154392,,ICICI,XXXXXX8830
banktxn_mqiwmyrjvrqmkvv0,merch_apollo,2026-06-18,2026-06-18,NEFT/RAZORPAY/AK2JJ4JVNDSRCSZB/setl_unqlf313b9,AK2JJ4JVNDSRCSZB,,302474,,HDFC,XXXXXX4021
banktxn_1609887apzd2k627,merch_nykaa,2026-05-03,2026-05-03,NEFT/RAZORPAY/PO4Y0O60XLFT20V3/setl_0d72z3xdgz,PO4Y0O60XLFT20V3,,268882,,RazorpayX,RZPX00XXXX2201
banktxn_7sdzry6omb9fl2vf,merch_bluedart,2026-02-08,2026-02-08,NEFT/RAZORPAY/WCCXSRZWDZPXX9MW/setl_gmhhs9mit9,WCCXSRZWDZPXX9MW,,921075,,Kotak,XXXXXX5567
banktxn_rhv4jbgea56438rq,merch_apollo,2026-01-04,2026-01-04,NEFT/RAZORPAY/VHET92CK95O1718T/setl_unqlf313b9,VHET92CK95O1718T,,137376,,HDFC,XXXXXX4021
banktxn_w0xhoxvd8tkwhlr9,merch_nykaa,2026-03-04,2026-03-04,NEFT/RAZORPAY/9ZBE4C84ZFQOGXFM/setl_0d72z3xdgz,9ZBE4C84ZFQOGXFM,,95677,,RazorpayX,RZPX00XXXX2201
banktxn_jb70bfzsaxz1vfrq,merch_bluedart,2026-02-01,2026-02-01,NEFT/RAZORPAY/ZMWU8OCBUM2BV49O/setl_gmhhs9mit9,ZMWU8OCBUM2BV49O,,55446,,Kotak,XXXXXX5567
banktxn_kyeeura9dfhl27lh,merch_zomato,2026-01-18,2026-01-18,NEFT/RAZORPAY/SGCSWHV61UFWBCB9/setl_e10cbloqhs,SGCSWHV61UFWBCB9,,113882,,ICICI,XXXXXX8830
banktxn_3ver4vjktg6u4whx,merch_zomato,2026-05-24,2026-05-24,NEFT/RAZORPAY/W5Z5OU5VS670EI2B/setl_e10cbloqhs,W5Z5OU5VS670EI2B,,223619,,ICICI,XXXXXX8830
banktxn_fd0lwszawx0aamlv,merch_bluedart,2026-05-01,2026-05-01,NEFT/RAZORPAY/S3SFYNGP0N95TD84/setl_gmhhs9mit9,S3SFYNGP0N95TD84,,296646,,Kotak,XXXXXX5567
banktxn_k0zsukgv8y7ks1rr,merch_bluedart,2026-02-11,2026-02-11,NEFT/RAZORPAY/KBMDBF8HJHYEHN7N/setl_gmhhs9mit9,KBMDBF8HJHYEHN7N,,74160,,Kotak,XXXXXX5567
banktxn_aooi1f3sm0l1rh1x,merch_urbanco,2026-05-27,2026-05-27,NEFT/RAZORPAY/2420QKPY5YDCC5PU/setl_5mtw5nll5z,2420QKPY5YDCC5PU,,63378,,Axis,XXXXXX1147
banktxn_pmz468hn3uszerek,merch_lenskart,2026-04-25,2026-04-25,NEFT/RAZORPAY/POPVM9GJB0F6KUV0/setl_8msqkv5blg,POPVM9GJB0F6KUV0,,116236,,HDFC,XXXXXX9910
