razorpay_record_id,merchant_id,true_bank_record_ids,true_merchant_record_id,relationship_type,anomaly_type,notes
pay_z2ec9j8p0n3w07,merch_lenskart,banktxn_4afqnegq3r2kp1cn,led_pse8uwqafxiv,exact_match,,refund_paise=0
pay_foml5nxhx9po7f,merch_nykaa,banktxn_43h37pgx7zx0ggbz,led_uvfxcocx4phf,exact_match,,refund_paise=0
pay_jqja1fq8nxrd6j,merch_lenskart,banktxn_iwxw1e6nfzwxbhl8,led_t3l2i3ifdddm,exact_match,,refund_paise=0
pay_56txt7y3cf5cvd,merch_bluedart,banktxn_7z8x0foluvgi7q0d,led_pnm834j47xi6,exact_match,,refund_paise=0
pay_8yhpecy6lpag5k,merch_nykaa,banktxn_zk1kvige0cj7w47u,led_ua3cxlfh25nd,exact_match,,refund_paise=0
pay_f371npvsnrj4ns,merch_zomato,banktxn_sph5varx2y0x6ns6,led_916l3t5cw2qs,exact_match,,refund_paise=0
pay_9knopjsb7f0th8,merch_apollo,banktxn_1y7vxma975nzs5zh,led_kadnhbrwtghv,exact_match,,refund_paise=0
pay_l9ests8rpkqcct,merch_apollo,banktxn_r1je7dpx5va2c7co,led_mm9xpb1bvfm8,exact_match,out_of_order_arrival,refund_paise=0
pay_60k2kbhfxfz0mz,merch_apollo,banktxn_pbpt6frzj604c9wa,led_ce96ywembt4x,exact_match,,refund_paise=0
pay_ojyiknerka6eye,merch_zomato,banktxn_yfmzkkzkabjam8k6,led_p7wkvn5s43l3,exact_match,,refund_paise=0
pay_z7q4bkm1ip723t,merch_apollo,banktxn_yn0vrrkegjo2jb9s,led_qejo165lf0nv,exact_match,,refund_paise=0
pay_5vqyaak68tbps0,merch_lenskart,banktxn_wjwuj98fkhdj3jqo,led_z9795lrgmamg,exact_match,,refund_paise=0
pay_1x9ucq5ksrg0kc,merch_lenskart,banktxn_bb9u664tnvr7v6ra,led_3iayn7ihzpze,exact_match,,refund_paise=0
pay_x9tv2kphp7q3ur,merch_nykaa,banktxn_5rj8c6omhi7ctbtu,led_oxnuq2rdgib2,exact_match,currency_mismatch,refund_paise=0
pay_1wswwrldwl2oud,merch_zomato,banktxn_db34pa0ucbw5yav7,led_z9qkdet5t0yr,exact_match,,refund_paise=0
pay_keu0uuhnhiu3y8,merch_lenskart,banktxn_j18nvzs0doxp3l3p,led_f2ppfr0n28x5,exact_match,,refund_paise=0
pay_27a3f19n81glac,merch_lenskart,banktxn_lew57z1z7zommxdi,led_ilppaan97vv3,exact_match,,refund_paise=0
pay_qx8i3m4qomgk69,merch_zomato,banktxn_2jh9dwq3b2l3yye1,led_h4dh0r4uvv8h,exact_match,,refund_paise=0
pay_2tdmovjw0kveg1,merch_zomato,banktxn_tuiyrtnn7j4wrhxa,led_c0wx8kxpwh6q,exact_match,,refund_paise=0
pay_rso1waypv5do0l,merch_urbanco,banktxn_x3y3dxw2ig43i3hf,led_4mpowl4dlcx6,exact_match,,refund_paise=0
pay_ly2m1jk3n2byhp,merch_bluedart,banktxn_7m280jl1bz6jdle4,led_8tgeevlc5679,exact_match,,refund_paise=0
pay_1yk6bdt0xn575g,merch_apollo,banktxn_p68posye1nnvdt6c,led_yxui2a8dio4j,exact_match,timing_difference,refund_paise=0
pay_j3fuaminxlwelq,merch_nykaa,banktxn_7ypegmg6dzgke6ko,led_d3f0upxl2rjn,refund_of,full_refund,refund_paise=66366
pay_xgs6lpumqrk0l4,merch_apollo,banktxn_28gbzr4uyals7j28,led_l3fykvrbojw4,exact_match,,refund_paise=0
pay_j4azolnx7otmbd,merch_apollo,banktxn_4wk9uci55ip5cf5l,led_mnc34ke2c3ji,exact_match,,refund_paise=0
pay_xhydjauoqz3xgr,merch_zomato,banktxn_mf9p2rvhp8v83ldp,led_j469xmqs9wn2,exact_match,,refund_paise=0
pay_qafdjs0j1t6gps,merch_apollo,banktxn_m126s2oth2vyrbxk,led_k6p97nfzrspf,exact_match,,refund_paise=0
pay_imqlt9wt9aodiw,merch_nykaa,banktxn_nt2dq9oevtbs453s,led_fm78zqbb2qya,exact_match,timing_difference,refund_paise=0
pay_kzpqd8yuxuaxvc,merch_zomato,banktxn_bxvjl5919a05vnjn,led_h4phxv843hpq,exact_match,out_of_order_arrival,refund_paise=0
pay_3rjtq4jj9swvfk,merch_lenskart,banktxn_uzeltcfw6ef1uehl,led_fd3berj6b9iu,refund_of,partial_refund,refund_paise=112726
pay_z7is9ctdmqi1tx,merch_nykaa,banktxn_sn4zlv65rjmr2mnp,led_djf5w3sd9128,refund_of,full_refund,refund_paise=28691
pay_d41c6gmohku89t,merch_bluedart,banktxn_1earsme4z2mvpf52,led_51ypliq6akep,exact_match,,refund_paise=0
pay_z3kwzctsjfmh3j,merch_zomato,banktxn_hy1f1gmyw0u7yr4j,led_8benlinb2kmq,exact_match,,refund_paise=0
pay_ktgjh72spar8ol,merch_bluedart,banktxn_4ouxjdj2vd3s6tto,led_6ck10vwydoa9,exact_match,,refund_paise=0
pay_m9brsrwxtyxtul,merch_nykaa,banktxn_79hxiiufrmq74nqz,led_p88f3t1qlgx1,exact_match,,refund_paise=0
pay_9qjjszcuwmnh5u,merch_bluedart,banktxn_k8w1lorm5zcsyjss,led_5xywfshfgm2p,exact_match,,refund_paise=0
pay_ohpagejemgxplb,merch_urbanco,banktxn_shtr75r5bb7l2fpk,led_mzqw422j7kxe,refund_of,partial_refund,refund_paise=178569
pay_bq82e3on4rkv5a,merch_nykaa,banktxn_zw61o6pz3im1ma54,led_93dr0x7ph6z0,exact_match,malformed_description,refund_paise=0
pay_nezxbwua0gspur,merch_bluedart,banktxn_862ui5gge070o5hi,led_m9ojmtjhdd4u,exact_match,,refund_paise=0
pay_uxdl1mbq2bt1px,merch_zomato,banktxn_qws0lw0v42pn71rh,led_2v2txdyjsxhw,exact_match,,refund_paise=0
pay_eepzo2f4q2xxwy,merch_zomato,banktxn_0fyzsxa4zydxjisx,led_6qsrpfh80yej,exact_match,duplicate_utr_reuse,refund_paise=0
pay_gcbbwurqdbv3h8,merch_urbanco,banktxn_bmr67idkwc2j0uun,led_7e2r40986pzt,exact_match,,refund_paise=0
pay_qlu3sic96xe29h,merch_zomato,banktxn_eqcf0kunjct30yi7,led_pgess296t0hs,exact_match,,refund_paise=0
pay_hh6341j9vugcmh,merch_bluedart,banktxn_tnp35qiaobjlkiqa,led_0b7elgoa9fi0,exact_match,,refund_paise=0
pay_hw7i7i05dwnpc7,merch_bluedart,banktxn_y9tb7fotk6qjh7kc,led_97z166c3xk8d,exact_match,,refund_paise=0
pay_mi6qdm761qvjl6,merch_urbanco,banktxn_8x5s4xemjsk874as,led_krfvd45jdf61,exact_match,,refund_paise=0
pay_6w1fqjzn52284w,merch_bluedart,banktxn_hcjvgddjj862qn42,led_1ip040i7c7fl,refund_of,corrupted_utr,refund_paise=74324
pay_yi8rxn7vtcru35,merch_nykaa,banktxn_6plrqdfdm2x9ic8o,led_8kfy5h0f3vkk,exact_match,,refund_paise=0
pay_4hq0rqo71oqfsj,merch_zomato,banktxn_3buazyqwe87b3zp5,led_gzi9n2tposwg,exact_match,,refund_paise=0
pay_g8ttf3bi3rkuam,merch_apollo,banktxn_ijrgk9f01g4naj9x,led_ovynlgv04wuv,exact_match,,refund_paise=0
pay_v9l28w13j4tu2v,merch_lenskart,banktxn_pvwl5m3rpxw4mmt7,led_knqq5qqzj2fq,exact_match,,refund_paise=0
pay_faqkwhl0ccv3bh,merch_nykaa,banktxn_t48pl9iiy4wmawfw,led_wa04k7htsvqh,exact_match,,refund_paise=0
pay_mo32i7c6qpvtm9,merch_nykaa,banktxn_8as29mjf4pe4kwjq,led_hu8lq3iotwa2,refund_of,full_refund,refund_paise=307338
pay_pd13pco973m4og,merch_lenskart,banktxn_jx2u5bo6kizbu038,led_fd6d8pwcugq1,exact_match,,refund_paise=0
pay_qpf222gmdz1hzy,merch_urbanco,banktxn_io6bz6n36ogkgqo9,led_nse79meq68sp,exact_match,,refund_paise=0
pay_uc3xt5hc1c0913,merch_nykaa,banktxn_db8tbkg27ifzivni,led_f5wypjnhty33,refund_of,partial_refund,refund_paise=598959
pay_irf60vy2uyrkso,merch_urbanco,banktxn_9nf4uk3g0du157xk,led_pzsh1ma1km2m,exact_match,,refund_paise=0
pay_xdua7e7rzb8o3x,merch_lenskart,banktxn_3ghpajnkj1sv00ke,led_mkwx8dgz67w1,exact_match,,refund_paise=0
pay_hb0l1ld0sauu8x,merch_urbanco,banktxn_n23up6rmeuvtxg8h,led_v6qi47ocrl1u,exact_match,currency_mismatch,refund_paise=0
pay_ft3brnsx6ipemk,merch_apollo,banktxn_q1ve0b6sdtdfu250,led_6iaqa4zaag00,exact_match,currency_mismatch,refund_paise=0
pay_3vca6qpnp62s3y,merch_lenskart,banktxn_kcivvg55q0awnmcz,led_yvlmzvkb3g4m,exact_match,malformed_description,refund_paise=0
pay_mxt30m78kew3qc,merch_apollo,banktxn_v81sksc6jjgh7ohk|banktxn_v81sksc6jjgh7ohk_split2,led_obgczh09vs4m,split,split_settlement,refund_paise=0
pay_raz0vcen10qgkk,merch_lenskart,banktxn_1x3nmy88q9c5qtn1,led_45nc8s1dj6is,exact_match,,refund_paise=0
pay_9mt0awr709xml6,merch_urbanco,banktxn_e0ye3ezxi16rutp9,led_471l0v6t2mvi,exact_match,,refund_paise=0
pay_hjdzx8osph7foo,merch_apollo,banktxn_t3s8njhl9uzq43lg,led_tazuh3tk5f7g,exact_match,,refund_paise=0
pay_x0lubwfsxc04zz,merch_bluedart,banktxn_282vl82gp3tid1pg,led_yguvca29jgh0,exact_match,,refund_paise=0
pay_jptitma6hzfnon,merch_nykaa,banktxn_g3kpju2fcrhaikc9,led_1rkhe8q4iej3,exact_match,,refund_paise=0
pay_w8g3wem5ec6mtb,merch_nykaa,banktxn_f1bupudq1xqeddm2,led_pppvr0lm1x12,exact_match,,refund_paise=0
pay_rkwswaj8nqnz8d,merch_nykaa,banktxn_ebze4mc1u1t62ixv,led_xr14m3wefhk4,refund_of,partial_refund,refund_paise=2622757
pay_rwrfqjjjw71pc8,merch_zomato,banktxn_u87681dw9wc26n0n,led_mjvr5rz3ow2f,exact_match,,refund_paise=0
pay_qjx53044ade17q,merch_zomato,banktxn_cw0ln0hax4ryep9l,led_svb51wvbti73,refund_of,partial_refund,refund_paise=90636
pay_n8tff6xx6kqvki,merch_zomato,banktxn_bmb6bzmos8g3nnla,led_k6vuiymrk9pj,exact_match,,refund_paise=0
pay_torryb7aviqa6d,merch_apollo,banktxn_mqiwmyrjvrqmkvv0,led_k7zqn3ptqhl4,refund_of,partial_refund,refund_paise=158801
pay_6q9smavjq3521p,merch_nykaa,banktxn_1609887apzd2k627,led_4y4och70otrx,exact_match,currency_mismatch,refund_paise=0
pay_0cz9w3u4339gkx,merch_bluedart,banktxn_7sdzry6omb9fl2vf,led_uyven87x1oxg,exact_match,,refund_paise=0
pay_el3qpnor3n1m1w,merch_apollo,banktxn_rhv4jbgea56438rq,led_8fvscz6ef0yf,exact_match,,refund_paise=0
pay_at75d5w3395hx3,merch_nykaa,banktxn_w0xhoxvd8tkwhlr9,led_u6ct39gjpxhm,exact_match,,refund_paise=0
pay_qxvd728jaoikre,merch_bluedart,banktxn_jb70bfzsaxz1vfrq,led_jv2ok07phefm,exact_match,,refund_paise=0
pay_h5rgkrjoyqotpg,merch_zomato,banktxn_kyeeura9dfhl27lh,led_7uvpntyqr523,exact_match,,refund_paise=0
pay_fgi62wxmeizyf5,merch_zomato,banktxn_3ver4vjktg6u4whx,led_013105ef3a7h,exact_match,,refund_paise=0
pay_w12tk2qx8cfufe,merch_bluedart,banktxn_fd0lwszawx0aamlv,led_pd3wxydv2s40,exact_match,,refund_paise=0
pay_8xvyhum0hgti5s,merch_bluedart,banktxn_k0zsukgv8y7ks1rr,led_bm06rbb1jcss,exact_match,,refund_paise=0
pay_w7vwlk4s7mifpz,merch_urbanco,banktxn_aooi1f3sm0l1rh1x,led_73os736son61,exact_match,,refund_paise=0
pay_5p4g14g11ljjjr,merch_lenskart,banktxn_pmz468hn3uszerek,led_2qw3689t7qqa,exact_match,,refund_paise=0
pay_3rulrji1d5hwbb,merch_zomato,banktxn_3ta9zwic9yzqowx0,led_61plbxmijc2k,exact_match,,refund_paise=0
pay_g812m3bi0sesuz,merch_lenskart,banktxn_vm4kpa87ct24pzxi,led_0jupfe0ju6j6,exact_match,,refund_paise=0
pay_aadc8bwjrp7s52,merch_zomato,banktxn_gablsc2dvgwn3xds,led_he933p0zf0tv,exact_match,,refund_paise=0
pay_8ab5a22j09dh83,merch_urbanco,banktxn_j4uyk7ejikkfaovv,led_cvkj9yd5wyxp,exact_match,,refund_paise=0
pay_dw9na6ieudla3x,merch_urbanco,banktxn_pv5wt37lezth1mh4,led_4jyk77uiao5j,exact_match,,refund_paise=0
pay_u0vuwyp7xbnq4q,merch_apollo,banktxn_mv3jdyxccbcxg17b,led_p4tpgznssias,exact_match,,refund_paise=0
pay_yjtpo23vj059o6,merch_urbanco,banktxn_tnnr4afi125k8b1i,led_15m1uraha169,exact_match,currency_mismatch,refund_paise=0
pay_5znttwudi7fs9d,merch_apollo,banktxn_h6ifq3ifzv8if0yw,led_izp2rg7jj9n3,exact_match,,refund_paise=0
pay_bph6ckugxmph8n,merch_nykaa,banktxn_111agb148sto1op8,led_nnuyuij768wj,refund_of,partial_refund,refund_paise=1119560
pay_rvyyl7rzb1czn9,merch_nykaa,banktxn_3zk7gpqsnt6oki18,led_c6cibozcomt6,exact_match,,refund_paise=0
pay_nbh4s7rplkdo27,merch_zomato,banktxn_746iqzvbo77vfu0b,led_7ndygm2dnkpt,exact_match,,refund_paise=0
pay_97prbooxbuegax,merch_bluedart,banktxn_djymqgm0ijqag1ji,led_6pd5roi6v333,refund_of,partial_refund,refund_paise=16446
pay_rp1nw1ykq08z6v,merch_zomato,banktxn_35k22xnzkh4iom4r,led_va79s4k9p5u7,exact_match,corrupted_utr,refund_paise=0
pay_814rgykgt5fe8k,merch_nykaa,banktxn_i0hro5142r4mw4o5,led_xc9yrkcro7jm,exact_match,,refund_paise=0
pay_3x6jjiz391xi8t,merch_apollo,banktxn_rn9489mp9gietq99,led_2rqmgnqqv3cs,exact_match,,refund_paise=0
pay_8lszgdt56u4zmp,merch_apollo,banktxn_5mpb6031gv4i2rlr,led_xl23cs0yq4jr,exact_match,,refund_paise=0
pay_3mbecjul04uzcm,merch_urbanco,banktxn_43o62ib2f1udmezo,led_x9w4kty10tzo,exact_match,,refund_paise=0
pay_ry9359296k9pb3,merch_lenskart,banktxn_70z5vwc5elt43cqr,led_7uqnww5xwfto,exact_match,,refund_paise=0
pay_20xwyjc5chtf71,merch_bluedart,banktxn_8626n60q3vwju1i9,led_2stprf623jlc,exact_match,,refund_paise=0
pay_cfocikby1hecbo,merch_nykaa,banktxn_1r1y68ms3p19xa9g,led_zs4ju3qvmpl2,exact_match,,refund_paise=0
pay_cpaod5ejgr1tw4,merch_zomato,banktxn_5b1o2keljfawhm48,led_dytxwhc40si5,exact_match,corrupted_utr,refund_paise=0
pay_qrzsjbuks4hx4b,merch_urbanco,banktxn_c9h18c2x48aics6k,led_2639fj7j833j,exact_match,,refund_paise=0
pay_u35li98v2nnuta,merch_nykaa,banktxn_4ne069v3scopb3q9,led_v8ght0rugn0t,exact_match,missing_utr,refund_paise=0
pay_hy69ihsrdctvfw,merch_nykaa,banktxn_erabknvxi40f9884,led_7ewwr4zpr1u0,exact_match,,refund_paise=0
pay_qzlwgmdow42mcj,merch_urbanco,banktxn_eo8k5sz1bu6kb8sf,led_ua8qcxr7t7oz,exact_match,,refund_paise=0
pay_qz07b11d1x7t3j,merch_nykaa,banktxn_1iqa3zvezje8a6np,led_eicvqw9m8fw6,exact_match,,refund_paise=0
pay_yx5rbprpwuh8af,merch_apollo,banktxn_yd4e96x7ou2j6np6,led_03v8r3towm4q,exact_match,,refund_paise=0
pay_8hhsmczs825ix9,merch_lenskart,banktxn_nz6y33qp1mruub6c,led_r12yhdy21rfe,exact_match,,refund_paise=0
pay_d5wr0rae7hfxui,merch_lenskart,banktxn_z5e6h90evnpj4jf4,led_j16fxzuzjanf,exact_match,,refund_paise=0
pay_yi0yywnqew0byl,merch_zomato,banktxn_zzzxhaeng084qy2r,led_z4elodo99hir,exact_match,,refund_paise=0
pay_elm5u8thzitbt2,merch_zomato,banktxn_31s461riw39c9mwp,led_w13yy6ixjyjo,exact_match,,refund_paise=0
pay_5f9hl68f4i5ha5,merch_urbanco,banktxn_8ycii9xfm8s3q0su,led_4hupi9ep6v2f,exact_match,,refund_paise=0
pay_956t32naikp016,merch_zomato,banktxn_nqfrzyphol1ikoo0,led_qaxmeovjaz4x,exact_match,,refund_paise=0
pay_0nydncjykzibll,merch_zomato,banktxn_3gbk1g04fkzw5wif,led_bhjnvjejbkm4,exact_match,,refund_paise=0
pay_wa63r9yozm8622,merch_zomato,banktxn_sdevhap0ymm28pan,led_7hfkdnkq7ta0,exact_match,,refund_paise=0
pay_p33vzgdl0p6vtb,merch_urbanco,banktxn_az5kkjd49gqvg00i,led_0jfsz6i47nxt,exact_match,,refund_paise=0
pay_gi4xk14qqi5l1n,merch_urbanco,banktxn_rahs6e6qkassc0yu,led_8g0epix20ami,exact_match,,refund_paise=0
pay_fuyhw2390eaxv3,merch_apollo,banktxn_9pxxda358h9djzc2,led_q5xhlpu9swmu,exact_match,,refund_paise=0
